zip,market,tier,state,lat,lng
45767,"Out of Coverage",ooc,OH,39.5288,-81.0940
12118,"Non-compliant",nc,NY,42.9168,-73.7214
23507,"Non-compliant",nc,VA,36.8645,-76.3004
11702,"Non-compliant",nc,NY,40.6957,-73.3257
22945,"Non-compliant",nc,VA,38.0654,-78.5958
63942,"Non-compliant",nc,MO,36.5626,-91.0703
59076,"Non-compliant",nc,MT,46.2914,-107.0967
76828,"Out of Coverage",ooc,TX,31.9986,-99.2553
68822,"Non-compliant",nc,NE,41.4126,-99.6355
20185,"Non-compliant",nc,VA,38.9930,-77.8799
67861,"Non-compliant",nc,KS,38.4987,-101.3589
44311,"Out of Coverage",ooc,OH,41.0638,-81.5200
14619,"Non-compliant",nc,NY,43.1367,-77.6481
63535,"Non-compliant",nc,MO,40.5665,-92.6388
84063,"Non-compliant",nc,UT,40.2186,-109.7301
63457,"Non-compliant",nc,MO,40.1184,-91.7121
27559,"Out of Coverage",ooc,NC,35.6306,-79.0839
50043,"Non-compliant",nc,IA,42.4179,-93.3755
43722,"Out of Coverage",ooc,OH,39.9159,-81.5201
27722,"Out of Coverage",ooc,NC,35.9940,-78.8986
47408,"Non-compliant",nc,IN,39.2303,-86.4692
75574,"Out of Coverage",ooc,TX,33.3359,-94.5520
14424,"Non-compliant",nc,NY,42.8689,-77.2846
84634,"Non-compliant",nc,UT,39.1545,-111.8167
40008,"Out of Coverage",ooc,KY,37.9080,-85.2862
97903,"Non-compliant",nc,OR,44.1994,-117.5904
33319,"Out of Coverage",ooc,FL,26.1848,-80.2406
58638,"Non-compliant",nc,ND,46.8936,-102.0367
06751,"Out of Coverage",ooc,CT,41.6387,-73.2091
97308,"Non-compliant",nc,OR,44.9429,-123.0351
52759,"Non-compliant",nc,IA,41.4625,-90.8088
13340,"Non-compliant",nc,NY,43.0440,-75.1072
59033,"Non-compliant",nc,MT,45.7633,-109.7846
23664,"Non-compliant",nc,VA,37.0566,-76.2966
59485,"Non-compliant",nc,MT,47.3539,-111.5954
49848,"Non-compliant",nc,MI,45.3748,-87.6206
39529,"Non-compliant",nc,MS,30.4032,-89.4982
89820,"Out of Coverage",ooc,NV,40.6220,-116.9554
25612,"Non-compliant",nc,WV,37.7662,-81.9876
77551,"Out of Coverage",ooc,TX,29.2766,-94.8303
16859,"Non-compliant",nc,PA,41.0342,-78.0095
42333,"Out of Coverage",ooc,KY,37.3418,-86.7700
49307,"Non-compliant",nc,MI,43.6897,-85.4797
26138,"Non-compliant",nc,WV,39.0338,-81.1775
88038,"Non-compliant",nc,NM,32.9659,-108.5767
45810,"Out of Coverage",ooc,OH,40.7709,-83.8154
54741,"Non-compliant",nc,WI,44.5963,-90.9906
47957,"Non-compliant",nc,IN,41.0897,-86.8808
79114,"Out of Coverage",ooc,TX,35.0500,-101.8175
12734,"Non-compliant",nc,NY,41.7349,-74.7345
48441,"Non-compliant",nc,MI,43.8312,-82.6886
15834,"Non-compliant",nc,PA,41.5177,-78.2536
72478,"Non-compliant",nc,AR,36.4803,-91.0515
47017,"Non-compliant",nc,IN,38.9490,-85.2122
31627,"Out of Coverage",ooc,GA,31.0403,-83.3915
16666,"Non-compliant",nc,PA,40.8722,-78.2757
75474,"Out of Coverage",ooc,TX,32.8983,-96.1261
84759,"Non-compliant",nc,UT,37.8078,-112.4369
51363,"Non-compliant",nc,IA,43.4318,-94.9469
71833,"Non-compliant",nc,AR,34.1323,-94.0152
48445,"Non-compliant",nc,MI,43.9480,-82.9755
08004,"Out of Coverage",ooc,NJ,39.7600,-74.8665
61651,"Out of Coverage",ooc,IL,40.7442,-89.7184
83101,"Non-compliant",nc,WY,41.7887,-110.5283
75802,"Out of Coverage",ooc,TX,31.7621,-95.6308
64461,"Non-compliant",nc,MO,40.5483,-94.8189
60536,"Out of Coverage",ooc,IL,41.5984,-88.5529
33544,"Out of Coverage",ooc,FL,28.2397,-82.3279
04852,"Non-compliant",nc,ME,43.7642,-69.3164
96705,"Non-compliant",nc,HI,21.9074,-159.5832
35458,"Non-compliant",nc,AL,33.2562,-87.7922
55988,"Non-compliant",nc,MN,44.0252,-91.7708
88230,"Non-compliant",nc,NM,33.1910,-104.3833
39347,"Non-compliant",nc,MS,32.0217,-88.8851
52574,"Non-compliant",nc,IA,40.7883,-92.9284
20106,"Non-compliant",nc,VA,38.6842,-78.0168
69032,"Non-compliant",nc,NE,40.5173,-101.0252
17966,"Non-compliant",nc,PA,40.5745,-76.4038
17407,"Non-compliant",nc,PA,39.8833,-76.7120
61242,"Out of Coverage",ooc,IL,41.6928,-90.3071
98258,"Non-compliant",nc,WA,48.0171,-122.0672
59826,"Non-compliant",nc,MT,47.5097,-113.7075
35987,"Non-compliant",nc,AL,33.9417,-86.2289
72841,"Non-compliant",nc,AR,34.8762,-93.7640
72533,"Non-compliant",nc,AR,35.9920,-92.2182
99170,"Non-compliant",nc,WA,47.2218,-117.4147
85328,"Out of Coverage",ooc,AZ,33.3164,-114.6650
28333,"Out of Coverage",ooc,NC,35.2926,-78.0273
76233,"Out of Coverage",ooc,TX,33.5580,-96.9014
36866,"Non-compliant",nc,AL,32.5437,-85.6871
47904,"Non-compliant",nc,IN,40.4276,-86.8735
18331,"Non-compliant",nc,PA,40.9089,-75.4314
05061,"Non-compliant",nc,VT,43.9379,-72.5970
11548,"Non-compliant",nc,NY,40.8125,-73.6261
56447,"Non-compliant",nc,MN,46.7478,-93.9484
25827,"Non-compliant",nc,WV,37.7385,-81.2536
97823,"Non-compliant",nc,OR,45.2306,-120.1898
18616,"Non-compliant",nc,PA,41.5269,-76.6008
43445,"Out of Coverage",ooc,OH,41.5694,-83.3116
76055,"Out of Coverage",ooc,TX,32.1636,-97.1460
49653,"Non-compliant",nc,MI,44.9856,-85.7329
58362,"Non-compliant",nc,ND,48.2271,-99.0655
86033,"Out of Coverage",ooc,AZ,36.6883,-110.2652
39145,"Non-compliant",nc,MS,32.3180,-89.7913
79121,"Out of Coverage",ooc,TX,35.1697,-101.9266
57323,"Non-compliant",nc,SD,44.1496,-97.7116
74345,"Non-compliant",nc,OK,36.6036,-94.7297
40507,"Out of Coverage",ooc,KY,38.0464,-84.4953
65018,"Non-compliant",nc,MO,38.6224,-92.5456
41271,"Out of Coverage",ooc,KY,37.8313,-82.7264
48440,"Non-compliant",nc,MI,42.9545,-83.4033
54161,"Non-compliant",nc,WI,45.1273,-88.1396
50633,"Non-compliant",nc,IA,42.6755,-93.1294
33701,"Out of Coverage",ooc,FL,27.7723,-82.6386
44750,"Out of Coverage",ooc,OH,40.7846,-81.4189
28457,"Out of Coverage",ooc,NC,34.4344,-77.9234
32504,"Out of Coverage",ooc,FL,30.4873,-87.1872
01342,"Non-compliant",nc,MA,42.5406,-72.6072
08527,"Out of Coverage",ooc,NJ,40.1210,-74.3017
